P,P_bayesian,P_subject,W,Y (Stimulas),Z
0.092,0.03,0.11,0.033,0,0.067
0.089,0.03,0.11,0.026,0,0.060
0.086,0.03,0.11,0.021,0,0.054
0.083,0.03,0.11,0.017,0,0.049
0.080,0.03,0.11,0.013,0,0.044
0.078,0.03,0.11,0.011,0,0.039
0.075,0.03,0.11,0.009,0,0.035
0.072,0.03,0.11,0.007,0,0.032
0.070,0.03,0.11,0.005,0,0.029
0.067,0.03,0.11,0.004,0,0.026
0.065,0.03,0.11,0.004,0,0.023
0.062,0.03,0.11,0.003,0,0.021
0.060,0.03,0.11,0.002,0,0.019
0.058,0.03,0.11,0.002,0,0.017
0.055,0.03,0.03,0.001,0,0.015
0.053,0.03,0.03,0.001,0,0.014
0.051,0.03,0.03,0.001,0,0.012
0.049,0.03,0.03,0.001,0,0.011
0.047,0.03,0.03,0.001,0,0.010
0.045,0.03,0.03,0.000,0,0.009
0.043,0.03,0.03,0.000,0,0.008
0.041,0.03,0.03,0.000,0,0.007
0.040,0.03,0.03,0.000,0,0.007
0.038,0.03,0.03,0.000,0,0.006
0.036,0.03,0.03,0.000,0,0.005
0.035,0.03,0.03,0.000,0,0.005
0.033,0.03,0.03,0.000,0,0.004
0.032,0.03,0.03,0.000,0,0.004
0.030,0.03,0.03,0.000,0,0.003
0.029,0.03,0.03,0.000,0,0.003
0.028,0.03,0.03,0.000,0,0.003
0.027,0.03,0.03,0.000,0,0.003
0.025,0.03,0.03,0.000,0,0.002
0.024,0.03,0.03,0.000,0,0.002
0.000,0.03,0.03,0.000,0,0.002
0.000,0.03,0.03,0.000,0,0.002
0.000,0.03,0.03,0.000,0,0.002
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.001
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,0,0.000
0.000,0.03,0.03,0.000,1,0.000
0.071,0.03,0.03,0.200,0,0.100
0.068,0.03,0.03,0.160,0,0.090
0.065,0.03,0.03,0.128,0,0.081
0.062,0.03,0.03,0.102,0,0.073
0.059,0.03,0.03,0.082,0,0.066
0.056,0.03,0.03,0.066,0,0.059
0.054,0.03,0.03,0.052,0,0.053
0.051,0.03,0.03,0.042,0,0.048
0.049,0.03,0.03,0.034,0,0.043
0.047,0.03,0.03,0.027,0,0.039
0.045,0.03,0.03,0.021,0,0.035
0.043,0.03,0.03,0.017,0,0.031
0.041,0.03,0.03,0.014,1,0.028
0.080,0.03,0.03,0.211,0,0.125
0.077,0.03,0.03,0.169,0,0.113
0.073,0.03,0.03,0.135,0,0.102
0.070,0.03,0.03,0.108,0,0.091
0.067,0.03,0.03,0.086,0,0.082
0.065,0.03,0.03,0.069,0,0.074
0.062,0.03,0.03,0.055,0,0.067
0.060,0.03,0.03,0.044,0,0.060
0.058,0.03,0.03,0.035,0,0.054
0.056,0.03,0.03,0.028,0,0.049
